sample,time,Throttle,SpeedMPH,RPM,CalcLoad,MAFVolts,MAF,STFT,LTFT,IAT,ECT,AFR,TargetAFR,CatTemp
160,32.400,14.902,0,1763,29.8039,1.46484,9.81,0,0,25,21,1.35576,1.00485,451.2
161,32.550,14.902,0,1753.75,29.4118,1.46484,9.81,0,0,25,21,1.37082,1.00504,451.2
162,32.700,14.902,0,1746.5,29.4118,1.45996,9.71,0,0,25,21,1.37512,1.00507,455.7
163,32.850,14.902,0,1733,29.4118,1.4502,9.52,0,0,25,21,1.38592,1.00522,455.7
164,33.000,14.902,0,1716,29.0196,1.4502,9.52,0,0,25,21,1.38592,1.0054,455.7
165,33.150,14.902,0,1699.75,29.8039,1.45508,9.52,0,0,25,21,1.38592,1.00555,460
166,33.300,14.902,0,1683,29.8039,1.44043,9.28,0,0,25,21,1.38592,1.00571,460
167,33.450,14.902,0,1667.25,29.8039,1.44531,9.33,0,0,25,21,1.38592,1.00586,460
168,33.600,14.902,0,1649.25,29.8039,1.44043,9.23,0,0,25,21,1.38592,1.00604,460
169,33.750,14.902,0,1636,30.1961,1.44043,9.28,0,0,25,21,1.38592,1.00616,463.9
170,33.900,14.902,0,1619.75,30.5882,1.44531,9.33,0,0,25,21,1.38592,1.00641,463.9
171,34.050,14.902,0,1618.75,30.9804,1.44531,9.28,0,0,25,21,1.38592,1.00641,463.9
172,34.200,14.902,0,1614,30.5882,1.44043,9.28,0,0,25,21,1.38592,1.00647,467.8
173,34.350,14.902,0,1613.25,30.9804,1.44043,9.33,0,0,25,21,1.38592,1.00653,467.8
174,34.500,14.5098,0,1616.25,30.5882,1.43555,9.23,0,0,25,21,1.38592,1.00656,467.8
175,34.650,14.5098,0,1617.25,30.5882,1.43555,9.23,0,0,25,21,1.38592,1.00656,467.8
176,34.800,14.5098,0,1612,30.5882,1.43555,9.19,0,0,25,21,1.38592,1.00659,471.6
177,34.950,14.5098,0,1599.75,30.9804,1.43066,9.14,0,0,25,21,1.38592,1.00656,471.6
178,35.100,14.5098,0,1594.5,30.9804,1.44043,9.33,0,0,25,22,1.38592,1.00662,471.6
179,35.250,14.5098,0,1596.5,30.9804,1.44043,9.23,0,0,25,22,1.38592,1.00659,475.4
180,35.400,14.5098,0,1592.5,30.9804,1.44043,9.23,0,0,25,22,1.38592,1.00665,475.4
181,35.550,14.5098,0,1600.5,30.9804,1.43066,9.14,0,0,25,22,1.38592,1.0068,475.4
182,35.700,14.5098,0,1603,30.5882,1.43555,9.14,0,0,25,22,1.38592,1.00662,479.1
183,35.850,14.5098,0,1596.5,30.5882,1.42578,9.04,0,0,25,22,1.38592,1.00662,479.1
184,36.000,14.5098,0,1599,30.1961,1.41602,8.81,0,0,25,22,1.38592,1.00665,479.1
185,36.150,14.5098,0,1591.5,30.5882,1.43555,9.14,0,0,25,22,1.38592,1.00674,479.1
186,36.300,14.5098,0,1595,30.5882,1.42578,8.95,0,0,25,22,1.38592,1.00677,482.7
187,36.450,14.5098,0,1591,30.5882,1.4209,9,0,0,25,22,1.38592,1.00677,482.7
188,36.600,14.5098,0,1586.75,30.9804,1.43066,9.14,0,0,25,22,1.38592,1.00671,482.7
189,36.750,14.5098,0,1574,30.9804,1.42578,9.09,0,0,25,22,1.38592,1.0069,486.3
190,36.900,14.5098,0,1571.5,30.9804,1.42578,8.95,0,0,25,22,1.38592,1.00699,486.3
191,37.050,14.5098,0,1562.75,30.5882,1.4209,8.85,0,0,25,22,1.38592,1.00687,486.3
192,37.200,14.5098,0,1564,30.5882,1.41602,8.85,0,0,25,22,1.38592,1.0069,486.3
193,37.350,14.5098,0,1558.25,30.9804,1.42578,8.95,0,0,25,22,1.38592,1.00687,489.7
194,37.500,14.5098,0,1562,30.9804,1.4209,8.85,0,0,25,22,1.38592,1.00693,489.7
195,37.650,14.5098,0,1559.25,30.9804,1.41602,8.85,0,0,25,22,1.38592,1.00687,489.7
196,37.800,14.5098,0,1549,30.9804,1.4209,8.95,0,0,25,22,1.38592,1.00699,493.1
197,37.950,14.5098,0,1546,30.9804,1.41602,8.85,0,0,25,22,1.38592,1.00717,493.1
198,38.100,14.5098,0,1538.5,31.3726,1.4209,8.85,0,0,25,22,1.38592,1.00708,493.1
199,38.250,14.5098,0,1541.5,31.3726,1.41602,8.9,0,0,25,22,1.38592,1.00702,496.5
200,38.400,14.5098,0,1540.25,30.9804,1.4209,8.81,0,0,25,22,1.38592,1.00702,496.5
201,38.550,14.5098,0,1539.5,30.9804,1.41602,8.81,0,0,25,22,1.38592,1.00702,496.5
202,38.700,14.5098,0,1533,30.9804,1.41602,8.81,0,0,25,22,1.38592,1.00699,496.5
203,38.850,14.5098,0,1528.25,30.9804,1.41113,8.66,0,0,25,22,1.38592,1.00705,499.7
204,39.000,14.5098,0,1510,31.3726,1.41602,8.76,0,0,25,22,1.38592,1.00714,499.7
205,39.150,14.5098,0,1510,31.3726,1.40625,8.76,0,0,25,22,1.38592,1.00726,499.7
206,39.300,14.5098,0,1501.75,31.7647,1.41113,8.81,0,0,25,22,1.38592,1.0072,503
207,39.450,14.5098,0,1503,31.7647,1.41113,8.76,0,0,25,22,1.38592,1.00729,503
208,39.600,14.5098,0,1504.75,31.7647,1.41113,8.76,0,0,25,22,1.38592,1.00723,503
209,39.750,14.5098,0,1507,31.3726,1.41602,8.76,0,0,25,22,1.38592,1.00714,503
210,39.900,14.5098,0,1511.5,31.3726,1.41113,8.66,0,0,25,22,1.38592,1.00723,506.1
211,40.050,14.5098,0,1516,31.3726,1.41113,8.76,0,0,25,22,1.38592,1.00726,506.1
212,40.200,14.5098,0,1514.75,31.7647,1.41602,8.85,0,0,25,22,1.38592,1.0072,506.1
213,40.350,14.5098,0,1514.5,31.3726,1.41602,8.66,0,0,25,22,1.38592,1.00717,509.3
214,40.500,14.5098,0,1509,31.3726,1.41113,8.76,0,0,25,22,1.38592,1.00702,509.3
215,40.650,14.5098,0,1515.25,30.9804,1.40625,8.57,0,0,25,23,1.38592,1.00723,509.3
216,40.800,14.5098,0,1512.5,31.3726,1.40625,8.66,0,0,25,23,1.38592,1.0072,509.3
217,40.950,14.5098,0,1501.25,31.3726,1.41113,8.66,0,0,25,23,1.38592,1.00723,512.4
218,41.100,14.5098,0,1501.5,31.3726,1.41113,8.66,0,0,25,23,1.38592,1.00729,512.4
219,41.250,14.5098,0,1504.5,31.3726,1.41113,8.76,0,0,25,23,1.38592,1.0072,512.4
220,41.400,14.5098,0,1503.5,31.3726,1.41113,8.62,0,0,25,23,1.38592,1.00735,515.4
221,41.550,14.5098,0,1501.75,30.9804,1.40137,8.52,0,0,25,23,1.38592,1.00732,515.4
222,41.700,14.5098,0,1497.5,30.9804,1.40625,8.57,0,0,25,23,1.38592,1.00729,515.4
223,41.850,14.5098,0,1494.5,30.9804,1.3916,8.39,0,0,25,23,1.38592,1.00726,518.3
224,42.000,14.5098,0,1496.5,30.9804,1.40137,8.48,0,2.34375,25,23,1.38592,1.00735,518.3
225,42.150,14.5098,0,1489.5,30.9804,1.40137,8.48,0,2.34375,25,23,1.38592,1.00735,518.3
226,42.300,14.5098,0,1480,30.9804,1.39648,8.43,0,2.34375,25,23,1.38592,1.00723,518.3
227,42.450,14.5098,0,1486.25,30.9804,1.39648,8.43,0,2.34375,25,23,1.38592,1.00714,521.3
228,42.600,14.5098,0,1484.75,30.9804,1.39648,8.48,0,2.34375,25,23,1.38592,1.0072,521.3
229,42.750,14.5098,0,1483.25,30.9804,1.39648,8.43,0,2.34375,25,23,1.38592,1.0072,521.3
230,42.900,14.5098,0,1480.25,30.5882,1.3916,8.34,0,2.34375,25,23,1.38592,1.00708,524.1
231,43.050,14.5098,0,1474.5,30.9804,1.3916,8.3,0,2.34375,25,23,1.38592,1.00723,524.1
232,43.200,14.5098,0,1470.75,30.9804,1.3916,8.3,0,2.34375,25,23,1.38592,1.00717,524.1
233,43.350,14.5098,0,1463.5,30.9804,1.38184,8.11,0,2.34375,25,23,1.38592,1.0072,524.1
234,43.500,14.1176,0,1461.5,30.5882,1.37207,8.02,0,2.34375,25,23,1.38592,1.00717,526.9
235,43.650,14.1176,0,1454.75,30.5882,1.38184,8.2,0,2.34375,25,23,1.38592,1.00723,526.9
236,43.800,14.1176,0,1453,30.5882,1.38672,8.16,0,2.34375,25,23,1.38592,1.00729,526.9
237,43.950,14.1176,0,1454.5,30.5882,1.37695,8.02,0,2.34375,25,23,1.38592,1.00748,529.5
238,44.100,14.1176,0,1449.5,30.5882,1.37207,8.02,0,2.34375,25,23,1.38592,1.00723,529.5
239,44.250,14.1176,0,1444.75,30.5882,1.37695,8.07,0,2.34375,25,23,1.38592,1.00726,529.5
240,44.400,14.1176,0,1431.5,30.9804,1.37695,8.02,0,2.34375,25,23,1.38592,1.00741,532.1
241,44.550,14.1176,0,1430.75,30.9804,1.37207,8.02,0,2.34375,25,23,1.38592,1.00748,532.1
242,44.700,14.1176,0,1435.25,30.9804,1.37695,8.02,0,2.34375,25,23,1.38592,1.00735,532.1
243,44.850,14.1176,0,1426.25,30.9804,1.37695,8.02,0,2.34375,25,23,1.38592,1.00745,532.1
244,45.000,14.1176,0,1421.75,30.9804,1.37695,8.07,0,2.34375,25,23,1.38592,1.00738,534.6
245,45.150,14.1176,0,1419.75,30.9804,1.37207,8.02,0,2.34375,25,23,1.38592,1.00745,534.6
246,45.300,14.1176,0,1422,30.9804,1.37695,8.02,0,2.34375,25,23,1.38592,1.00748,534.6
247,45.450,14.1176,0,1415.25,31.3726,1.37695,8.11,0,2.34375,25,23,1.38592,1.00748,537.1
248,45.600,14.1176,0,1419,31.3726,1.37207,7.98,0,2.34375,25,23,1.38592,1.00738,537.1
249,45.750,14.1176,0,1420.5,30.9804,1.36719,7.93,0,2.34375,25,23,1.38592,1.00732,537.1
250,45.900,14.1176,0,1412.25,30.9804,1.37207,7.93,0,2.34375,25,23,1.38592,1.00735,537.1
